Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Amazon,1185732,11/26/22,Northeast,Maine,Portland,Men's Athletic Footwear,$53.00 ,148,"$7,844 ","$3,922 ",100%,Online
Kohl's,1185732,11/26/22,Northeast,New Jersey,Newark,Women's Athletic Footwear,$38.00 ,112,"$4,256 ","$2,128 ",100%,Online
Foot Locker,1185732,11/26/22,Midwest,Illinois,Chicago,Men's Apparel,$59.00 ,70,"$4,130 ","$1,900 ",92%,Online
Sports Direct,1197831,11/26/22,South,Tennessee,Knoxville,Women's Street Footwear,$36.00 ,294,"$10,584 ","$6,138 ",116%,Online
Sports Direct,1197831,11/26/22,South,Tennessee,Knoxville,Women's Street Footwear,$27.00 ,326,"$8,802 ","$4,224 ",96%,Outlet
West Gear,1185732,11/26/22,West,Utah,Salt Lake City,Men's Apparel,$40.00 ,700,"$280,000 ","$98,000 ",70%,In-store
Foot Locker,1197831,11/26/22,West,Idaho,Boise,Women's Street Footwear,$30.00 ,900,"$270,000 ","$94,500 ",70%,Online
Amazon,1185732,11/26/22,Northeast,Maine,Portland,Men's Athletic Footwear,$50.00 ,550,"$275,000 ","$96,250 ",70%,Outlet
Sports Direct,1197831,11/26/22,South,Texas,Dallas,Women's Street Footwear,$30.00 ,1000,"$300,000 ","$105,000 ",70%,Outlet
Foot Locker,1185732,11/26/22,Northeast,Rhode Island,Providence,Women's Athletic Footwear,$40.00 ,300,"$120,000 ","$48,000 ",80%,In-store
Foot Locker,1185732,11/26/22,Midwest,Nebraska,Omaha,Men's Street Footwear,$40.00 ,800,"$320,000 ","$128,000 ",80%,Outlet
West Gear,1185732,11/26/22,West,Utah,Salt Lake City,Men's Athletic Footwear,$25.00 ,650,"$162,500 ","$56,876 ",70%,In-store
Sports Direct,1185732,11/26/22,Northeast,Massachusetts,Boston,Women's Street Footwear,$42.00 ,138,"$5,796 ","$2,028 ",70%,Online
Foot Locker,1197831,11/26/22,West,Idaho,Boise,Men's Apparel,$39.00 ,140,"$5,460 ","$1,912 ",70%,Online
Amazon,1185732,11/26/22,Northeast,New Hampshire,Manchester,Men's Apparel,$60.00 ,550,"$330,000 ","$99,000 ",60%,In-store
Amazon,1185732,11/26/22,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,$43.00 ,232,"$9,976 ","$4,190 ",84%,Outlet
West Gear,1185732,11/26/22,Southeast,Florida,Orlando,Women's Athletic Footwear,$37.00 ,290,"$10,730 ","$4,400 ",82%,Online
Foot Locker,1185732,11/26/22,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$41.00 ,170,"$6,970 ","$2,718 ",78%,Outlet
Sports Direct,1128299,11/26/22,Southeast,Georgia,Atlanta,Women's Athletic Footwear,$33.00 ,264,"$8,712 ","$3,746 ",86%,Outlet
Foot Locker,1128299,11/26/22,Southeast,Virginia,Richmond,Women's Apparel,$60.00 ,352,"$21,120 ","$6,970 ",66%,Outlet
Kohl's,1189833,11/27/22,West,California,Los Angeles,Women's Street Footwear,$50.00 ,1450,"$725,000 ","$290,000 ",80%,Outlet
Foot Locker,1185732,11/27/22,Northeast,New Hampshire,Manchester,Men's Apparel,$71.00 ,162,"$11,502 ","$4,830 ",84%,Online
Sports Direct,1185732,11/27/22,Northeast,Massachusetts,Boston,Men's Street Footwear,$39.00 ,392,"$15,288 ","$5,350 ",70%,Outlet
Amazon,1185732,11/27/22,Northeast,Maine,Portland,Men's Street Footwear,$40.00 ,900,"$360,000 ","$126,000 ",70%,Outlet
Kohl's,1189833,11/27/22,Midwest,Montana,Billings,Men's Apparel,$52.00 ,212,"$11,024 ","$7,716 ",140%,Online
West Gear,1185732,11/27/22,West,Utah,Salt Lake City,Men's Street Footwear,$20.00 ,388,"$7,760 ","$3,570 ",92%,Outlet
Foot Locker,1185732,11/27/22,Northeast,Rhode Island,Providence,Men's Street Footwear,$36.00 ,352,"$12,672 ","$5,068 ",80%,Outlet
Foot Locker,1185732,11/27/22,Midwest,Nebraska,Omaha,Women's Apparel,$35.00 ,300,"$105,000 ","$52,500 ",100%,Outlet
West Gear,1185732,11/27/22,Northeast,West Virginia,Charleston,Men's Street Footwear,$30.00 ,1140,"$342,000 ","$136,800 ",80%,In-store
Sports Direct,1185732,11/27/22,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,$35.00 ,1400,"$490,000 ","$171,500 ",70%,Online
West Gear,1185732,11/27/22,West,Utah,Salt Lake City,Men's Street Footwear,$30.00 ,1340,"$402,000 ","$160,800 ",80%,In-store
Sports Direct,1197831,11/27/22,West,Idaho,Boise,Women's Apparel,$42.00 ,284,"$11,928 ","$7,872 ",132%,Online
Sports Direct,1128299,11/27/22,Southeast,Georgia,Atlanta,Men's Apparel,$41.00 ,102,"$4,182 ","$2,008 ",96%,Online
West Gear,1128299,11/27/22,West,Oregon,Portland,Men's Apparel,$48.00 ,154,"$7,392 ","$3,104 ",84%,Outlet
Foot Locker,1185732,11/27/22,South,Mississippi,Jackson,Men's Street Footwear,$58.00 ,442,"$25,636 ","$13,074 ",102%,Online
Sports Direct,1185732,11/27/22,Midwest,Michigan,Detroit,Men's Apparel,$60.00 ,900,"$540,000 ","$216,000 ",80%,In-store
West Gear,1128299,11/27/22,Southeast,Florida,Orlando,Women's Apparel,$64.00 ,400,"$25,600 ","$12,288 ",96%,Outlet
West Gear,1185732,11/27/22,West,Utah,Salt Lake City,Women's Street Footwear,$14.00 ,214,"$2,996 ","$1,258 ",84%,Outlet
Walmart,1128299,11/27/22,Southeast,Florida,Orlando,Men's Athletic Footwear,$59.00 ,288,"$16,992 ","$6,456 ",76%,Online
Foot Locker,1185732,11/27/22,Southeast,Kentucky,Louisville,Men's Athletic Footwear,$55.00 ,650,"$357,500 ","$125,126 ",70%,Online
Kohl's,1189833,11/27/22,West,California,Los Angeles,Men's Street Footwear,$45.00 ,1800,"$810,000 ","$324,000 ",80%,Outlet
Foot Locker,1185732,11/27/22,Midwest,Nebraska,Omaha,Women's Athletic Footwear,$38.00 ,76,"$2,888 ","$1,588 ",110%,Online
Foot Locker,1185732,11/27/22,Southeast,South Carolina,Charleston,Women's Apparel,$56.00 ,450,"$25,200 ","$16,380 ",130%,Online
Foot Locker,1185732,11/27/22,Northeast,Rhode Island,Providence,Men's Street Footwear,$50.00 ,1150,"$575,000 ","$201,250 ",70%,In-store
Foot Locker,1185732,11/27/22,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,$64.00 ,270,"$17,280 ","$11,232 ",130%,Online
Foot Locker,1128299,11/27/22,West,Alaska,Anchorage,Women's Street Footwear,$44.00 ,188,"$8,272 ","$2,978 ",72%,Online
Amazon,1185732,11/27/22,Southeast,North Carolina,Charlotte,Men's Apparel,$45.00 ,950,"$427,500 ","$149,626 ",70%,Online
Sports Direct,1185732,11/27/22,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$24.00 ,136,"$3,264 ","$1,370 ",84%,Online
West Gear,1197831,11/27/22,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$15.00 ,156,"$2,340 ",$960 ,82%,Outlet
West Gear,1185732,11/27/22,Northeast,West Virginia,Charleston,Men's Athletic Footwear,$34.00 ,76,"$2,584 ","$1,188 ",92%,Online
Foot Locker,1185732,11/27/22,Midwest,Illinois,Chicago,Men's Athletic Footwear,$50.00 ,600,"$300,000 ","$105,000 ",70%,Outlet
West Gear,1185732,11/27/22,Midwest,Indiana,Indianapolis,Men's Apparel,$44.00 ,116,"$5,104 ","$2,296 ",90%,Online
Foot Locker,1128299,11/27/22,West,Hawaii,Honolulu,Women's Street Footwear,$85.00 ,1200,"$1,020,000 ","$255,000 ",50%,Outlet
Amazon,1185732,11/27/22,Midwest,Ohio,Columbus,Women's Street Footwear,$20.00 ,248,"$4,960 ","$2,628 ",106%,Online
Foot Locker,1185732,11/27/22,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,$39.00 ,312,"$12,168 ","$7,058 ",116%,Outlet
West Gear,1128299,11/28/22,Southeast,Florida,Orlando,Women's Street Footwear,$64.00 ,408,"$26,112 ","$8,616 ",66%,Outlet
Foot Locker,1185732,11/28/22,Southeast,South Carolina,Charleston,Men's Apparel,$62.00 ,390,"$24,180 ","$10,882 ",90%,Online
Sports Direct,1197831,11/28/22,South,Mississippi,Jackson,Women's Athletic Footwear,$19.00 ,156,"$2,964 ","$1,570 ",106%,Online
Sports Direct,1197831,11/28/22,South,Texas,Dallas,Women's Apparel,$32.00 ,280,"$8,960 ","$5,018 ",112%,Online
West Gear,1185732,11/28/22,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$33.00 ,138,"$4,554 ","$1,912 ",84%,Online
Foot Locker,1185732,11/28/22,Northeast,Connecticut,Hartford,Women's Apparel,$67.00 ,224,"$15,008 ","$6,904 ",92%,Online
Foot Locker,1185732,11/28/22,Midwest,Missouri,St. Louis,Women's Street Footwear,$25.00 ,700,"$175,000 ","$61,250 ",70%,In-store
Kohl's,1128299,11/28/22,West,Arizona,Phoenix,Women's Athletic Footwear,$45.00 ,850,"$382,500 ","$133,876 ",70%,Online
Kohl's,1128299,11/28/22,West,Arizona,Phoenix,Men's Apparel,$45.00 ,160,"$7,200 ","$2,952 ",82%,Online
Foot Locker,1185732,11/28/22,Northeast,West Virginia,Charleston,Women's Apparel,$70.00 ,900,"$630,000 ","$252,000 ",80%,In-store
Foot Locker,1128299,11/28/22,Southeast,Georgia,Atlanta,Women's Apparel,$70.00 ,1000,"$700,000 ","$175,000 ",50%,Online
Kohl's,1189833,11/28/22,West,California,Los Angeles,Women's Street Footwear,$49.00 ,352,"$17,248 ","$8,796 ",102%,Online
Foot Locker,1185732,11/28/22,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$32.00 ,106,"$3,392 ","$1,356 ",80%,Online
Foot Locker,1185732,11/28/22,Northeast,Connecticut,Hartford,Men's Apparel,$60.00 ,156,"$9,360 ","$4,212 ",90%,Online
Amazon,1185732,11/28/22,Northeast,Maine,Portland,Men's Apparel,$50.00 ,150,"$75,000 ","$18,750 ",50%,Outlet
Sports Direct,1197831,11/28/22,South,Texas,Dallas,Men's Apparel,$39.00 ,368,"$14,352 ","$5,454 ",76%,Outlet
Sports Direct,1128299,11/28/22,Southeast,Georgia,Atlanta,Women's Street Footwear,$45.00 ,700,"$315,000 ","$110,250 ",70%,Online
Foot Locker,1185732,11/28/22,Midwest,Iowa,Des Moines,Men's Street Footwear,$50.00 ,1050,"$525,000 ","$157,500 ",60%,In-store
Foot Locker,1185732,11/28/22,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,$43.00 ,16,$688 ,$350 ,102%,Online
Foot Locker,1185732,11/28/22,Northeast,New Hampshire,Manchester,Men's Street Footwear,$52.00 ,290,"$15,080 ","$6,936 ",92%,Online
Sports Direct,1197831,11/28/22,South,Alabama,Birmingham,Women's Athletic Footwear,$32.00 ,196,"$6,272 ","$3,888 ",124%,Online
West Gear,1185732,11/28/22,Midwest,Indiana,Indianapolis,Women's Street Footwear,$15.00 ,400,"$60,000 ","$21,000 ",70%,In-store
Foot Locker,1185732,11/28/22,Southeast,South Carolina,Charleston,Women's Athletic Footwear,$43.00 ,364,"$15,652 ","$6,574 ",84%,Online
Sports Direct,1197831,11/28/22,South,Alabama,Birmingham,Women's Street Footwear,$45.00 ,1150,"$517,500 ","$258,750 ",100%,Outlet
Foot Locker,1185732,11/28/22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$49.00 ,88,"$4,312 ","$2,026 ",94%,Online
Sports Direct,1185732,11/28/22,Midwest,North Dakota,Fargo,Women's Street Footwear,$39.00 ,78,"$3,042 ","$1,338 ",88%,Online
Foot Locker,1197831,11/28/22,West,Idaho,Boise,Women's Apparel,$26.00 ,270,"$7,020 ","$3,650 ",104%,Outlet
Foot Locker,1185732,11/28/22,Northeast,Rhode Island,Providence,Women's Apparel,$35.00 ,400,"$140,000 ","$56,000 ",80%,In-store
West Gear,1185732,11/28/22,Midwest,Iowa,Des Moines,Women's Street Footwear,$32.00 ,114,"$3,648 ","$1,606 ",88%,Online
Foot Locker,1185732,11/28/22,Southeast,South Carolina,Charleston,Women's Street Footwear,$45.00 ,1390,"$625,500 ","$156,376 ",50%,Online
West Gear,1128299,11/28/22,Southeast,Florida,Orlando,Men's Apparel,$90.00 ,1050,"$945,000 ","$189,000 ",40%,In-store
Sports Direct,1185732,11/28/22,South,Mississippi,Jackson,Women's Street Footwear,$60.00 ,1050,"$630,000 ","$252,000 ",80%,Online
Foot Locker,1185732,11/28/22,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$35.00 ,900,"$315,000 ","$110,250 ",70%,In-store
West Gear,1197831,11/29/22,West,Idaho,Boise,Women's Street Footwear,$25.00 ,1150,"$287,500 ","$100,626 ",70%,Online
Foot Locker,1185732,11/29/22,Northeast,West Virginia,Charleston,Women's Street Footwear,$24.00 ,126,"$3,024 ","$1,392 ",92%,Online
Foot Locker,1185732,11/29/22,Northeast,Rhode Island,Providence,Men's Apparel,$44.00 ,40,"$1,760 ",$792 ,90%,Online
Foot Locker,1128299,11/29/22,Southeast,Virginia,Richmond,Men's Apparel,$73.00 ,222,"$16,206 ","$8,914 ",110%,Online
West Gear,1128299,11/29/22,West,Oregon,Portland,Men's Athletic Footwear,$75.00 ,1500,"$1,125,000 ","$393,750 ",70%,In-store
Sports Direct,1185732,11/29/22,Northeast,Massachusetts,Boston,Women's Street Footwear,$30.00 ,300,"$90,000 ","$22,500 ",50%,In-store
Amazon,1185732,11/29/22,Midwest,Ohio,Columbus,Men's Apparel,$35.00 ,900,"$315,000 ","$110,250 ",70%,Online
Foot Locker,1185732,11/29/22,Midwest,Illinois,Chicago,Men's Apparel,$60.00 ,250,"$150,000 ","$52,500 ",70%,Outlet
Foot Locker,1185732,11/29/22,Northeast,Connecticut,Hartford,Men's Street Footwear,$59.00 ,300,"$17,700 ","$9,028 ",102%,Online
Foot Locker,1197831,11/29/22,West,Idaho,Boise,Men's Athletic Footwear,$55.00 ,1500,"$825,000 ","$330,000 ",80%,Online
West Gear,1197831,11/29/22,South,Oklahoma,Oklahoma City,Men's Apparel,$29.00 ,100,"$2,900 ","$1,392 ",96%,Online
Foot Locker,1185732,11/29/22,Southeast,South Carolina,Charleston,Men's Street Footwear,$67.00 ,580,"$38,860 ","$23,316 ",120%,Online
West Gear,1185732,11/29/22,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$34.00 ,66,"$2,244 ",$964 ,86%,Online
West Gear,1128299,11/29/22,West,Oregon,Portland,Men's Street Footwear,$33.00 ,280,"$9,240 ","$4,898 ",106%,Online
Amazon,1185732,11/29/22,Northeast,Maine,Portland,Men's Athletic Footwear,$55.00 ,400,"$220,000 ","$77,000 ",70%,Outlet
Kohl's,1189833,11/29/22,West,California,Los Angeles,Men's Street Footwear,$49.00 ,448,"$21,952 ","$10,976 ",100%,Online
Kohl's,1189833,11/29/22,Midwest,Montana,Billings,Men's Street Footwear,$40.00 ,1350,"$540,000 ","$243,000 ",90%,Outlet
Foot Locker,1185732,11/29/22,Midwest,Nebraska,Omaha,Men's Apparel,$50.00 ,100,"$50,000 ","$17,500 ",70%,Outlet
Foot Locker,1185732,11/29/22,Northeast,Connecticut,Hartford,Men's Apparel,$65.00 ,500,"$325,000 ","$97,500 ",60%,In-store
Kohl's,1189833,11/29/22,West,California,San Francisco,Women's Athletic Footwear,$45.00 ,1100,"$495,000 ","$173,250 ",70%,Outlet
Sports Direct,1185732,11/29/22,Midwest,South Dakota,Sioux Falls,Men's Apparel,$59.00 ,90,"$5,310 ","$2,442 ",92%,Online
West Gear,1185732,11/29/22,Midwest,Indiana,Indianapolis,Women's Street Footwear,$30.00 ,600,"$180,000 ","$72,000 ",80%,In-store
Kohl's,1189833,11/29/22,West,California,Los Angeles,Men's Athletic Footwear,$34.00 ,442,"$15,028 ","$4,508 ",60%,Outlet
West Gear,1128299,11/29/22,West,Oregon,Portland,Women's Street Footwear,$45.00 ,950,"$427,500 ","$149,626 ",70%,In-store
Kohl's,1185732,11/29/22,Northeast,New York,Albany,Women's Street Footwear,$29.00 ,286,"$8,294 ","$4,064 ",98%,Online
Amazon,1185732,11/30/22,Southeast,Kentucky,Louisville,Women's Street Footwear,$40.00 ,350,"$140,000 ","$56,000 ",80%,Online
Kohl's,1189833,11/30/22,West,California,San Francisco,Men's Athletic Footwear,$41.00 ,392,"$16,072 ","$5,786 ",72%,Online
Foot Locker,1185732,11/30/22,South,Mississippi,Jackson,Women's Athletic Footwear,$16.00 ,192,"$3,072 ","$1,320 ",86%,Outlet
Sports Direct,1197831,11/30/22,South,Mississippi,Jackson,Women's Street Footwear,$14.00 ,240,"$3,360 ","$1,680 ",100%,Online
West Gear,1185732,11/30/22,Northeast,Maryland,Baltimore,Men's Street Footwear,$49.00 ,236,"$11,564 ","$6,014 ",104%,Online
Sports Direct,1185732,11/30/22,Midwest,South Dakota,Sioux Falls,Men's Apparel,$60.00 ,300,"$180,000 ","$63,000 ",70%,Online
West Gear,1185732,11/30/22,West,Utah,Salt Lake City,Men's Athletic Footwear,$30.00 ,750,"$225,000 ","$78,750 ",70%,In-store
Foot Locker,1128299,11/30/22,West,Arizona,Phoenix,Men's Street Footwear,$37.00 ,388,"$14,356 ","$5,598 ",78%,Outlet
Sports Direct,1185732,11/30/22,Midwest,Michigan,Detroit,Men's Athletic Footwear,$55.00 ,1300,"$715,000 ","$286,000 ",80%,In-store
Kohl's,1197831,11/30/22,Midwest,Kansas,Wichita,Women's Athletic Footwear,$43.00 ,150,"$6,450 ","$3,160 ",98%,Online
Foot Locker,1185732,11/30/22,Southeast,South Carolina,Charleston,Women's Street Footwear,$55.00 ,1650,"$907,500 ","$226,876 ",50%,Online
Sports Direct,1185732,11/30/22,Southeast,North Carolina,Charlotte,Women's Apparel,$29.00 ,406,"$11,774 ","$7,064 ",120%,Online
Sports Direct,1128299,11/30/22,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$39.00 ,446,"$17,394 ","$8,176 ",94%,Outlet
West Gear,1185732,11/30/22,Midwest,Indiana,Indianapolis,Women's Street Footwear,$30.00 ,600,"$180,000 ","$72,000 ",80%,In-store
Foot Locker,1185732,11/30/22,Midwest,Illinois,Chicago,Women's Apparel,$65.00 ,500,"$325,000 ","$162,500 ",100%,Outlet
West Gear,1128299,11/30/22,South,Louisiana,New Orleans,Women's Street Footwear,$50.00 ,800,"$400,000 ","$160,000 ",80%,In-store
Foot Locker,1185732,11/30/22,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$55.00 ,250,"$137,500 ","$48,126 ",70%,Outlet
Sports Direct,1197831,11/30/22,South,Alabama,Birmingham,Women's Apparel,$59.00 ,364,"$21,476 ","$16,536 ",154%,Online
West Gear,1197831,11/30/22,South,Arkansas,Little Rock,Men's Street Footwear,$24.00 ,286,"$6,864 ","$3,432 ",100%,Online
West Gear,1185732,11/30/22,Northeast,West Virginia,Charleston,Men's Athletic Footwear,$40.00 ,850,"$340,000 ","$136,000 ",80%,In-store
Foot Locker,1128299,11/30/22,West,Arizona,Phoenix,Men's Athletic Footwear,$53.00 ,226,"$11,978 ","$6,468 ",108%,Online
Kohl's,1128299,11/30/22,West,New Mexico,Albuquerque,Men's Athletic Footwear,$43.00 ,218,"$9,374 ","$4,312 ",92%,Outlet
West Gear,1185732,11/30/22,Midwest,Wisconsin,Milwaukee,Women's Apparel,$50.00 ,500,"$250,000 ","$100,000 ",80%,In-store
Sports Direct,1197831,11/30/22,South,Texas,Dallas,Women's Athletic Footwear,$59.00 ,290,"$17,110 ","$10,608 ",124%,Online
Amazon,1185732,11/30/22,Northeast,New Hampshire,Manchester,Men's Apparel,$47.00 ,228,"$10,716 ","$3,964 ",74%,Outlet
West Gear,1185732,11/30/22,West,Utah,Salt Lake City,Men's Apparel,$30.00 ,550,"$165,000 ","$57,750 ",70%,In-store
West Gear,1185732,11/30/22,West,Utah,Salt Lake City,Women's Athletic Footwear,$19.00 ,202,"$3,838 ","$2,034 ",106%,Online
Foot Locker,1185732,11/30/22,Northeast,Maryland,Baltimore,Men's Street Footwear,$60.00 ,700,"$420,000 ","$168,000 ",80%,In-store
Foot Locker,1185732,11/30/22,Northeast,Delaware,Wilmington,Women's Athletic Footwear,$45.00 ,600,"$270,000 ","$108,000 ",80%,In-store
West Gear,1185732,11/30/22,Northeast,West Virginia,Charleston,Women's Street Footwear,$19.00 ,136,"$2,584 ","$1,396 ",108%,Online
Sports Direct,1185732,11/30/22,Northeast,Connecticut,Hartford,Men's Athletic Footwear,$38.00 ,112,"$4,256 ","$2,298 ",108%,Online
Sports Direct,1197831,11/30/22,South,Alabama,Birmingham,Women's Street Footwear,$47.00 ,434,"$20,398 ","$11,014 ",108%,Outlet
Kohl's,1189833,12/1/22,Midwest,Montana,Billings,Women's Apparel,$59.00 ,305,"$17,995 ","$7,198 ",100%,Online
West Gear,1185732,12/1/22,Northeast,West Virginia,Charleston,Women's Street Footwear,$19.00 ,227,"$4,322 ","$2,335 ",135%,Online
Foot Locker,1128299,12/1/22,West,Alaska,Anchorage,Women's Street Footwear,$45.00 ,937,"$421,875 ","$105,470 ",62%,Outlet
Sports Direct,1197831,12/1/22,South,Alabama,Birmingham,Men's Apparel,$50.00 ,1000,"$500,000 ","$200,000 ",100%,Outlet
West Gear,1197831,12/1/22,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,$41.00 ,212,"$8,712 ","$4,618 ",132%,Online
Sports Direct,1128299,12/1/22,Southeast,Georgia,Atlanta,Men's Apparel,$45.00 ,437,"$196,875 ","$68,908 ",88%,Online
Foot Locker,1128299,12/1/22,West,Idaho,Boise,Women's Apparel,$36.00 ,277,"$9,990 ","$3,498 ",88%,Online
Foot Locker,1128299,12/1/22,West,Arizona,Phoenix,Men's Athletic Footwear,$51.00 ,345,"$17,595 ","$9,150 ",130%,Online
Amazon,1185732,12/1/22,Northeast,Massachusetts,Boston,Women's Apparel,$51.00 ,320,"$16,320 ","$5,385 ",82%,Outlet
Foot Locker,1185732,12/1/22,Northeast,Maryland,Baltimore,Men's Athletic Footwear,$38.00 ,202,"$7,695 ","$3,848 ",125%,Online
Kohl's,1197831,12/1/22,South,Oklahoma,Oklahoma City,Women's Apparel,$75.00 ,1062,"$796,875 ","$318,750 ",100%,Online
Sports Direct,1185732,12/1/22,Midwest,Michigan,Detroit,Men's Apparel,$45.00 ,1250,"$562,500 ","$225,000 ",100%,In-store
Sports Direct,1185732,12/1/22,Northeast,Connecticut,Hartford,Men's Street Footwear,$43.00 ,425,"$18,275 ","$8,590 ",118%,Outlet
West Gear,1185732,12/1/22,Midwest,Iowa,Des Moines,Women's Apparel,$30.00 ,625,"$187,500 ","$75,000 ",100%,In-store
Amazon,1185732,12/1/22,Northeast,Massachusetts,Boston,Men's Apparel,$52.00 ,225,"$11,700 ","$3,392 ",72%,Outlet
Sports Direct,1185732,12/1/22,Southeast,North Carolina,Charlotte,Men's Street Footwear,$28.00 ,690,"$19,320 ","$10,432 ",135%,Online
Amazon,1185732,12/1/22,West,Alaska,Anchorage,Men's Street Footwear,$65.00 ,1625,"$1,056,250 ","$369,688 ",88%,Outlet
Amazon,1185732,12/1/22,Midwest,Ohio,Columbus,Men's Apparel,$50.00 ,337,"$16,875 ","$8,270 ",122%,Online
Kohl's,1128299,12/1/22,West,New Mexico,Albuquerque,Men's Street Footwear,$37.00 ,515,"$19,055 ","$8,002 ",105%,Outlet
Foot Locker,1128299,12/1/22,Southeast,Virginia,Richmond,Men's Athletic Footwear,$47.00 ,422,"$19,858 ","$9,730 ",122%,Online
West Gear,1128299,12/1/22,West,Oregon,Portland,Men's Athletic Footwear,$50.00 ,355,"$17,750 ","$8,165 ",115%,Online
West Gear,1128299,12/2/22,West,Oregon,Portland,Men's Street Footwear,$44.00 ,432,"$19,030 ","$8,755 ",115%,Online
Amazon,1185732,12/2/22,Northeast,Maine,Portland,Men's Street Footwear,$39.00 ,317,"$12,382 ","$6,068 ",122%,Online
Foot Locker,1185732,12/2/22,Midwest,Illinois,Chicago,Men's Athletic Footwear,$41.00 ,235,"$9,635 ","$4,432 ",115%,Online
Kohl's,1197831,12/2/22,Midwest,Kansas,Wichita,Men's Street Footwear,$51.00 ,455,"$23,205 ","$11,602 ",125%,Online
Foot Locker,1185732,12/2/22,Southeast,South Carolina,Charleston,Women's Apparel,$40.00 ,1937,"$775,000 ","$387,500 ",125%,Online
Sports Direct,1185732,12/2/22,Midwest,Michigan,Detroit,Men's Street Footwear,$55.00 ,637,"$35,062 ","$21,388 ",152%,Online
Kohl's,1189833,12/2/22,West,California,Los Angeles,Men's Street Footwear,$45.00 ,2000,"$900,000 ","$360,000 ",100%,Outlet
Amazon,1185732,12/2/22,Northeast,Maine,Portland,Men's Street Footwear,$55.00 ,1375,"$756,250 ","$264,688 ",88%,Outlet
West Gear,1128299,12/2/22,Southeast,Florida,Orlando,Women's Apparel,$95.00 ,1562,"$1,484,375 ","$667,970 ",112%,In-store
Foot Locker,1128299,12/2/22,West,Arizona,Phoenix,Men's Athletic Footwear,$53.00 ,282,"$14,972 ","$8,085 ",135%,Online
Foot Locker,1185732,12/2/22,Midwest,North Dakota,Fargo,Women's Athletic Footwear,$39.00 ,117,"$4,582 ","$1,970 ",108%,Online
Kohl's,1197831,12/2/22,Midwest,Kansas,Wichita,Women's Street Footwear,$14.00 ,150,"$2,100 ","$1,050 ",125%,Online
Walmart,1128299,12/2/22,West,Hawaii,Honolulu,Men's Street Footwear,$62.00 ,372,"$23,095 ","$8,315 ",90%,Online
West Gear,1197831,12/2/22,South,Oklahoma,Oklahoma City,Women's Apparel,$45.00 ,407,"$18,338 ","$8,618 ",118%,Outlet
Foot Locker,1185732,12/2/22,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$70.00 ,437,"$306,250 ","$107,188 ",88%,Outlet
Foot Locker,1185732,12/2/22,Northeast,Pennsylvania,Philadelphia,Women's Apparel,$53.00 ,187,"$9,938 ","$3,578 ",90%,Outlet
West Gear,1128299,12/2/22,West,Oregon,Portland,Men's Apparel,$42.00 ,95,"$3,990 ","$2,075 ",130%,Online
Kohl's,1185732,12/2/22,West,Wyoming,Cheyenne,Men's Athletic Footwear,$45.00 ,1437,"$646,875 ","$194,062 ",75%,In-store
Amazon,1185732,12/2/22,Southeast,Kentucky,Louisville,Men's Apparel,$47.00 ,87,"$4,112 ","$2,015 ",122%,Online
Sports Direct,1185732,12/2/22,Northeast,Rhode Island,Providence,Women's Athletic Footwear,$35.00 ,250,"$87,500 ","$21,875 ",62%,In-store
Foot Locker,1185732,12/3/22,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,$45.00 ,750,"$337,500 ","$101,250 ",75%,Online
Amazon,1185732,12/3/22,Midwest,Ohio,Columbus,Men's Street Footwear,$34.00 ,422,"$14,365 ","$7,470 ",130%,Online
Foot Locker,1185732,12/3/22,Northeast,New Hampshire,Manchester,Women's Apparel,$80.00 ,1125,"$900,000 ","$315,000 ",88%,Outlet
Kohl's,1128299,12/3/22,West,New Mexico,Albuquerque,Men's Athletic Footwear,$51.00 ,390,"$19,890 ","$10,145 ",128%,Online
West Gear,1185732,12/3/22,Northeast,West Virginia,Charleston,Men's Apparel,$41.00 ,185,"$7,585 ","$4,172 ",138%,Online
Amazon,1185732,12/3/22,Northeast,Vermont,Burlington,Women's Street Footwear,$34.00 ,192,"$6,545 ","$3,208 ",122%,Online
Sports Direct,1185732,12/3/22,Northeast,Connecticut,Hartford,Women's Street Footwear,$45.00 ,500,"$225,000 ","$67,500 ",75%,In-store
